geolocation_city,geolocation_state,total_sellers,avg_lat,avg_lng
sao pedro,SP,2,-22.55124525869923,-47.90659642198052
conchal,SP,2,-22.338398569332117,-47.1683209783616
ceilandia,DF,2,-15.818415623808288,-48.118657618509445
caruaru,PE,2,-8.285410366791194,-35.96861908115203
castro,PR,2,-24.79988481787012,-49.99687494311637
canoinhas,SC,2,-26.17842967715644,-50.39172922868355
ribeirão pires,SP,2,-23.7153796585286,-46.403578780195645
cajamar,SP,2,-23.388868553793937,-46.85456133306389
campos dos goytacazes,RJ,2,-21.75650602388157,-41.33204541278835
cafelandia,SP,2,-21.80320059939524,-49.602212692890134
campo limpo paulista,SP,2,-23.211746332732215,-46.762875138051314
barbacena,MG,2,-21.226538680569085,-43.78080097136182
belford roxo,RJ,2,-22.740991139047388,-43.4016888070465
campo bom,RS,2,-29.67704500881413,-51.060403440177396
bariri,SP,2,-22.074022270567585,-48.74025621655563
itauna,MG,2,-20.077863070164632,-44.576133772160524
jacutinga,MG,2,-22.288146664323694,-46.61190091318773
jaboticabal,SP,2,-21.251411780067905,-48.319432284800584
itaipulandia,PR,2,-25.147980629391814,-54.30365145115528
bento goncalves,RS,2,-29.155674465575085,-51.51306325887411
itajobi,SP,2,-21.31499774715289,-49.055417305075984
campo do meio,MG,2,-21.109499455456902,-45.8298343383836
lauro de freitas,BA,2,-12.893166748087063,-38.33787462509412
mairipora,SP,2,-23.329721686232084,-46.59712215964799
mage,RJ,2,-22.651419516496585,-43.066557876304024
maringá,PR,2,-23.436935641611,-51.96266259093467
bragança paulista,SP,2,-22.964802783097714,-46.53441931528525
itapetininga,SP,2,-23.587565723331036,-48.04486901382985
ipira,BA,2,-12.154533930203856,-39.74046054005801
itaboraí,RJ,2,-22.763788631384415,-42.90224497398218
laurentino,SC,2,-27.221224290121654,-49.731481761265776
lagoa da prata,MG,2,-20.024064772425362,-45.537189813602396
lorena,SP,2,-22.73119397606822,-45.11612021410136
joao pessoa,PB,2,-7.141210972932736,-34.855740962278105
